Name,Score,Genders,Type,Episodes,Premiered,Producers,Source,Duration per ep.,Rating
Ani ni Tsukeru Kusuri wa Nai! 2,7.72,School,TV,24,2018,TBS,Web manga,3 min,PG-13 - Teens 13 or older
Anima Yell!,6.93,Comedy,TV,12,2018,Jinnan Studio,4-koma manga,23 min,PG-13 - Teens 13 or older
Animal Yokochou,6.83,Adventure,TV,51,2005,TV Tokyo,Manga,23 min,G - All Ages
Animation Kikou: Marco Polo no Bouken,6.16,Adventure,TV,43,1979,NHK,Original,20 min,G - All Ages
Anime Himitsu no Hanazono,7.05,"Kids, Historical, Drama, Shoujo",TV,39,1991,NHK,Book,25 min,G - All Ages
Anime Sanjuushi,7.11,Adventure,TV,52,1987,NHK,Novel,28 min,G - All Ages
Animegataris,6.42,Parody,TV,12,2017,Victor Entertainment,Original,23 min,PG-13 - Teens 13 or older
Anitore! EX,5.43,Comedy,TV,12,2015,Earth Star Entertainment,Original,4 min,PG-13 - Teens 13 or older
Anitore! XX: Hitotsu Yane no Shita de,5.62,Comedy,TV,12,2016,Evil Line Records,Original,4 min,PG-13 - Teens 13 or older
Anmitsu Hime,6.3,Historical,TV,51,1986,Fuji TV,Manga,24 min,G - All Ages
Anne Happy♪,6.98,"Slice of Life, Comedy, School",TV,12,2016,Sotsu,Manga,23 min,PG-13 - Teens 13 or older
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.42,"Slice of Life, Supernatural, Drama",TV,11,2011,Aniplex,Original,22 min,PG-13 - Teens 13 or older
Ano Natsu de Matteru,7.49,Drama,TV,12,2012,Geneon Universal Entertainment,Original,23 min,PG-13 - Teens 13 or older
Another,7.55,"Mystery, Horror, Supernatural, Thriller, School",TV,12,2012,Lantis,Light novel,24 min,R - 17+ (violence & profanity)
Ansatsu Kyoushitsu,8.12,Action,TV,22,2015,Dentsu,Manga,23 min,PG-13 - Teens 13 or older
Ansatsu Kyoushitsu 2nd Season,8.54,Action,TV,25,2016,Dentsu,Manga,23 min,PG-13 - Teens 13 or older
Anyamal Tantei Kiruminzoo,7.01,"Magic, Comedy, Shoujo",TV,50,2009,Geneon Universal Entertainment,Original,23 min,G - All Ages
Ao Haru Ride,7.67,Drama,TV,12,2014,Mainichi Broadcasting System,Manga,23 min,PG-13 - Teens 13 or older
Ao no Exorcist,7.59,Action,TV,25,2011,Aniplex,Manga,24 min,PG-13 - Teens 13 or older
Ao no Exorcist: Kyoto Fujouou-hen,7.43,Action,TV,12,2017,Aniplex,Manga,24 min,PG-13 - Teens 13 or older
Ao no Kanata no Four Rhythm,6.71,Sci-Fi,TV,12,2016,TV Tokyo,Visual novel,24 min,PG-13 - Teens 13 or older
Ao Oni The Animation,5.14,Horror,TV,13,2016,DAX Production,Game,3 min,R - 17+ (violence & profanity)
Aoharu x Kikanjuu,7.18,Action,TV,12,2015,TBS,Manga,24 min,PG-13 - Teens 13 or older
Aoi Bungaku Series,7.74,Drama,TV,12,2009,Movic,Novel,23 min,R - 17+ (violence & profanity)
Aoi Hana,7.16,"Romance, Shoujo Ai, Slice of Life",TV,11,2009,Fuji TV,Manga,22 min,PG-13 - Teens 13 or older
Aoki Hagane no Arpeggio: Ars Nova,7.4,Action,TV,12,2013,Sotsu,Manga,24 min,PG-13 - Teens 13 or older
Appare-Ranman!,7.33,"Cars, Comedy, Historical",TV,13,2020,Lantis,Original,23 min,PG-13 - Teens 13 or older
Aquarian Age: Sign for Evolution,6.12,Action,TV,13,2002,Broccoli,Card game,24 min,PG-13 - Teens 13 or older
Aquarion Evol,7.14,Action,TV,26,2012,Media Factory,Original,24 min,PG-13 - Teens 13 or older
Aquarion Logos,5.72,Action,TV,26,2015,C2C,Original,24 min,PG-13 - Teens 13 or older
Arabian Nights: Sindbad no Bouken (TV),7.2,Adventure,TV,52,1975,Studio Jack,Book,25 min,G - All Ages
Araburu Kisetsu no Otome-domo yo.,7.5,Drama,TV,12,2019,Mainichi Broadcasting System,Manga,24 min,PG-13 - Teens 13 or older
Arad Senki: Slap Up Party,6.75,Action,TV,26,2009,Studio Jack,Game,25 min,PG-13 - Teens 13 or older
Araiya-san!: Ore to Aitsu ga Onnayu de!?,6.44,Comedy,TV,8,2019,Picante Circus,Manga,3 min,R+ - Mild Nudity
Arakawa Under the Bridge,7.6,Romance,TV,13,2010,Square Enix,Manga,24 min,PG-13 - Teens 13 or older
Arakawa Under the Bridge x Bridge,7.75,Romance,TV,13,2010,Square Enix,Manga,23 min,PG-13 - Teens 13 or older
Arashi no Yoru ni: Himitsu no Tomodachi,6.76,Adventure,TV,26,2012,Bandai Visual,Book,23 min,G - All Ages
Arata Kangatari,6.5,Adventure,TV,12,2013,TV Tokyo,Manga,24 min,PG-13 - Teens 13 or older
